epoch	loss	acc	lr
388	32870.43185897827	0.81	0.001
389	32557.33987854004	0.82	0.001
390	32183.87586736679	0.8	0.001
391	31822.159412956236	0.83	0.001
392	31544.48935377121	0.77	0.001
393	31108.956704216005	0.85	0.001
394	30794.0767798996	0.77	0.001
395	30532.359644355773	0.76	0.001
396	30174.579108600617	0.79	0.001
397	29864.47345741272	0.79	0.001
398	29576.70888677597	0.75	0.001
399	29259.011091594697	0.75	0.001
400	28960.49407814026	0.83	0.001
401	28687.72561341286	0.79	0.001
402	28365.498128061296	0.91	0.001
403	27997.1855172348	0.88	0.001
404	27757.026315670013	0.78	0.001
405	27478.93960931778	0.82	0.001
406	27234.954019670487	0.75	0.001
407	26996.729770727157	0.79	0.001
408	26720.036290464403	0.79	0.001
409	26439.351086568833	0.86	0.001
410	26186.502994918825	0.87	0.001
411	25903.171925172806	0.81	0.001
412	25688.271757860184	0.86	0.001
413	25491.715368804933	0.84	0.001
414	25238.64028930664	0.89	0.001
415	25018.315273952485	0.82	0.001
416	24772.53925224304	0.82	0.001
417	24531.949329319	0.8	0.001
418	24315.491214818954	0.85	0.001
419	24088.217000265122	0.86	0.001
420	23856.917104539873	0.83	0.001
421	23630.233272094727	0.86	0.001
422	23457.803650474547	0.87	0.001
423	23239.22814400673	0.8	0.001
424	23027.8119151783	0.79	0.001
425	22828.86960460663	0.76	0.001
426	22646.55615843773	0.76	0.001
427	22425.9928147316	0.85	0.001
428	22283.15828831673	0.89	0.001
429	22116.841149721145	0.89	0.001
430	21924.755860881807	0.87	0.001
431	21680.54305196762	0.81	0.001
432	21555.431509513855	0.82	0.001
433	21366.489665365218	0.8	0.001
434	21238.567395935057	0.83	0.001
435	21004.521500873565	0.81	0.001
436	20902.265520305635	0.81	0.001
437	20696.539560604095	0.86	0.001
438	20468.944698343275	0.84	0.001
439	20392.648304042817	0.86	0.001
440	20231.37957034111	0.84	0.001
441	20133.289081048966	0.81	0.001
442	19940.916521549225	0.9	0.001
443	19792.4477482605	0.85	0.001
444	19641.920274152755	0.8	0.001
445	19485.48337267876	0.87	0.001
446	19339.576608371735	0.85	0.001
447	19226.08162888527	0.86	0.001
448	19119.460765228272	0.86	0.001
449	18968.65368707657	0.81	0.001
450	18896.97365410805	0.85	0.001
451	18760.99881591797	0.84	0.001
452	18602.005257844925	0.87	0.001
453	18498.078485250473	0.8	0.001
454	18356.402470970155	0.81	0.001
455	18270.12683997154	0.86	0.001
456	18140.734550065994	0.82	0.001
457	17990.018802309038	0.91	0.001
458	17963.47824933052	0.86	0.001
459	17843.31703145027	0.89	0.001
460	17653.329485492708	0.88	0.001
461	17588.491797084807	0.83	0.001
462	17510.546748218538	0.8	0.001
463	17406.103724155426	0.81	0.001
464	17290.139503078462	0.83	0.001
465	17197.462160577776	0.85	0.001
466	17146.77321302414	0.82	0.001
467	17032.70430937767	0.9	0.001
468	16930.66330318451	0.88	0.001
469	16841.5724648571	0.82	0.001
470	16723.967814683914	0.87	0.001
471	16674.83015695572	0.83	0.001
472	16587.244551830292	0.91	0.001
473	16469.29052652359	0.82	0.001
474	16420.257630605698	0.91	0.001
475	16359.07998167038	0.87	0.001
476	16256.743879995345	0.8	0.001
477	16178.999429311752	0.84	0.001
478	16135.118071899415	0.89	0.001
479	16033.37133573532	0.85	0.001
480	15947.506419038773	0.88	0.001
481	15908.070747251511	0.9	0.001
482	15790.366059122085	0.9	0.001
483	15739.03707502365	0.88	0.001
484	15647.295761299134	0.89	0.001
485	15560.166512002945	0.85	0.001
486	15552.315058383942	0.87	0.001
487	15513.886342592239	0.84	0.001
488	15413.92283402443	0.85	0.001
489	15359.156115512847	0.89	0.001
490	15276.963569254875	0.83	0.001
491	15254.001294612885	0.87	0.001
492	15184.766491069793	0.8	0.001
493	15111.161483783722	0.78	0.001
494	15058.92306198597	0.89	0.001
495	15083.541599502563	0.82	0.001
496	15014.183336281776	0.88	0.001
497	14882.94105826378	0.9	0.001
498	14895.777082157136	0.88	0.001
499	14852.075634775161	0.85	0.001
500	14786.938425240516	0.82	0.001
